NAME,CLUBS,ATWins,ATLosses,winRatio,poolWins,poolLosses,poolWinRatio,DEWins,DELosses,DEWinRatio
"
                    Jaesun Yun",Southern California Fencing Academy (SOCALFA),457,131,77.7%,300,72,80.6%,157,59,72.7%
"
                    Taylor Chon",Globus Fencing Academy,567,213,72.7%,379,131,74.3%,188,82,69.6%
"
                    Joseph Simak",Nazlymov Fencing Foundation,467,240,66.1%,321,162,66.5%,146,78,65.2%
"
                    Matthew Chan",Advance Fencing And Fitness Academy,611,292,67.7%,425,194,68.7%,186,98,65.5%
"
                    Leo Feng",Miracle Fencing Club / Nazlymov Fencing Foundation,576,288,66.7%,399,194,67.3%,177,94,65.3%
"
                    Anthony Jiang",Spartak,393,172,69.6%,284,106,72.8%,109,66,62.3%
"
                    Benjamin Kogan",Dynamo Fencing Center Inc.,477,217,68.7%,339,144,70.2%,138,73,65.4%
"
                    Jude Wilson",Peter Westbrook Foundation / Fencers Club Inc.,504,169,74.9%,352,96,78.6%,152,73,67.6%
"
                    Eric Wang",Laguna Fencing Center,436,170,71.9%,301,105,74.1%,135,65,67.5%
"
                    Ethan Huang",Lilov Fencing Academy,713,344,67.5%,499,230,68.4%,214,114,65.2%
"
                    Samuel Zubatiy",Spartak,389,167,70.0%,277,110,71.6%,112,57,66.3%
"
                    Justin Lee",Nazlymov Fencing Foundation / Nazlymov Fencing Foundation,457,279,62.1%,336,193,63.5%,121,86,58.5%
"
                    Lev Ermakov",Fencing Academy Of Denver / Nellya Fencers,397,171,69.9%,284,112,71.7%,113,59,65.7%
"
                    William Holz",Premier Fencing Academy,448,270,62.4%,317,191,62.4%,131,79,62.4%
"
                    Edward Maklin",Dynamo Fencing Center Inc.,561,343,62.1%,391,246,61.4%,170,97,63.7%
"
                    Carter Berrio",Alle Fencing Club,406,244,62.5%,300,170,63.8%,106,74,58.9%
"
                    Wade Hjerpe",Phoenix Fencing Academy,339,187,64.4%,241,129,65.1%,98,58,62.8%
"
                    Andrei Nazlymov",Nazlymov Fencing Foundation,461,262,63.8%,341,181,65.3%,120,81,59.7%
"
                    Andrew Deng",Integrity Fencing Studio,672,359,65.2%,475,241,66.3%,197,118,62.5%
"
                    Lukas Eichhorn",Nellya Fencers,385,178,68.4%,272,119,69.6%,113,59,65.7%
"
                    Connor Woodward",Research Triangle Fencing / Nazlymov Fencing Foundation,534,290,64.8%,385,202,65.6%,149,88,62.9%
"
                    Jake Yun",PDX Fencing,427,234,64.6%,325,158,67.3%,102,76,57.3%
"
                    Charles Wang",,183,116,61.2%,130,83,61.0%,53,33,61.6%
"
                    Alec Avakian",Laguna Fencing Center / West Coast Fencing Academy,388,208,65.1%,278,140,66.5%,110,68,61.8%
"
                    Finn Buchmann",Scarsdale Fencing Center,204,133,60.5%,148,93,61.4%,56,40,58.3%
"
                    George Luo",PDX Fencing,349,197,63.9%,254,135,65.3%,95,62,60.5%
"
                    JINTAO YAO",,46,35,56.8%,32,27,54.2%,14,8,63.6%
"
                    Minghan Li",,102,69,59.6%,72,51,58.5%,30,18,62.5%
"
                    Nicholas Jeffry",Halberstadt Fencers' Club,149,74,66.8%,102,52,66.2%,47,22,68.1%
"
                    Dashiell Rosberg",Halberstadt Fencers' Club,435,254,63.1%,310,183,62.9%,125,71,63.8%
"
                    Arjun Luthra",Sheridan Fencing Academy,286,178,61.6%,205,123,62.5%,81,55,59.6%
"
                    Alexander Kim",Globus Fencing Academy,379,185,67.2%,280,119,70.2%,99,66,60.0%
"
                    Steven Hong",Sigma Fencing Academy,508,340,59.9%,382,239,61.5%,126,101,55.5%
"
                    Andrew Xu",PDX Fencing,399,250,61.5%,297,174,63.1%,102,76,57.3%
"
                    Azlan Shahzad",Zeta Fencing,259,201,56.3%,190,147,56.4%,69,54,56.1%
"
                    MATTHEW TENG",,206,118,63.6%,148,83,64.1%,58,35,62.4%
"
                    Neil Pandey",Advance Fencing And Fitness Academy,330,306,51.9%,258,225,53.4%,72,81,47.1%
"
                    Esmond Stone",Cardinal Fencing Club,500,431,53.7%,382,315,54.8%,118,116,50.4%
"
                    Jonathan Morales",International Fencing Club,347,293,54.2%,253,220,53.5%,94,73,56.3%
"
                    Jeffrey zhang",Southern California Fencing Academy (SOCALFA),276,219,55.8%,202,162,55.5%,74,57,56.5%
"
                    Jeremiah Ng",Durkan Fencing Academy,346,304,53.2%,265,226,54.0%,81,78,50.9%
"
                    Michail Medvedev",Mission Fencing Center,276,226,55.0%,205,167,55.1%,71,59,54.6%
"
                    Lucas Gilson",Lilov Fencing Academy,251,150,62.6%,181,103,63.7%,70,47,59.8%
"
                    Justin Glozman",Delaware Valley Fencers Club-PA,329,236,58.2%,243,169,59.0%,86,67,56.2%
"
                    Evan Chen",Durkan Fencing Academy,301,263,53.4%,235,194,54.8%,66,69,48.9%
"
                    Joshua Lim",RedStar Fencing Club Chicago,112,52,68.3%,73,37,66.4%,39,15,72.2%
"
                    Oliver Grathwol-Sear",Salle Auriol Seattle,269,214,55.7%,192,163,54.1%,77,51,60.2%
"
                    Kwasi Thornhill",Triple Threat Fencing Academy / Cobra Fencing Club LLC,231,149,60.8%,168,105,61.5%,63,44,58.9%
"
                    Alex Pan",Globus Fencing Academy,378,307,55.2%,290,220,56.9%,88,87,50.3%
"
                    Gabriel Noureldin",Sheridan Fencing Academy,457,274,62.5%,332,188,63.8%,125,86,59.2%
"
                    Chihun An",,30,11,73.2%,21,7,75.0%,9,4,69.2%
"
                    Edward Han",Midwest Fencing Club,288,220,56.7%,209,163,56.2%,79,57,58.1%
"
                    Spencer Depew",Advance Fencing And Fitness Academy,285,233,55.0%,221,171,56.4%,64,62,50.8%
"
                    Luca Savoy",,351,273,56.2%,266,197,57.5%,85,76,52.8%
"
                    Ethan Rhee","Avant Garde Fencers Club, Inc (CA) (AGFC)",106,88,54.6%,78,65,54.5%,28,23,54.9%
"
                    Konnor Lo",Spartak,278,227,55.0%,218,164,57.1%,60,63,48.8%
"
                    Nicholas Kakehi",Oregon Fencing Alliance,245,179,57.8%,181,127,58.8%,64,52,55.2%
"
                    William Robinson",,56,46,54.9%,42,34,55.3%,14,12,53.8%
"
                    William Kilgallen",Boston Fencing Club,247,191,56.4%,181,139,56.6%,66,52,55.9%
"
                    Connor Huang",Dynamo Fencing Center Inc.,265,225,54.1%,202,161,55.6%,63,64,49.6%
"
                    Broghan Bukowski",Nazlymov Fencing Foundation,207,277,42.8%,152,221,40.8%,55,56,49.5%
"
                    Matthew Fields",Tim Morehouse Fencing Club,446,356,55.6%,350,250,58.3%,96,106,47.5%
"
                    William Zhang",RedStar Fencing Club Chicago,145,83,63.6%,100,58,63.3%,45,25,64.3%
"
                    JINCHENG YAO",,45,27,62.5%,35,18,66.0%,10,9,52.6%
"
                    Ethan Gianetto",South Bay Fencing Academy,324,293,52.5%,244,213,53.4%,80,80,50.0%
"
                    Seth Waxler",Tim Morehouse Fencing Club,245,163,60.0%,191,112,63.0%,54,51,51.4%
"
                    Griffin May",Nellya Fencers,283,226,55.6%,221,167,57.0%,62,59,51.2%
"
                    Mattias Weber",Manhattan Fencing Center,363,340,51.6%,276,258,51.7%,87,82,51.5%
"
                    Daniel Tiagi","Alle Fencing Club / Stamford Fencing Center, LLC",171,182,48.4%,127,140,47.6%,44,42,51.2%
"
                    Ari Etin",University Of North Carolina/Chapel Hill NCAA / Forge Fencing Teams,142,106,57.3%,105,72,59.3%,37,34,52.1%
"
                    Jakob Kleiman",Cardinal Fencing Club,107,68,61.1%,81,46,63.8%,26,22,54.2%
"
                    Mingyang Ryan Liu",Bergen Fencing Club,474,516,47.9%,385,384,50.1%,89,132,40.3%
"
                    Jordan Ginsberg",Sheridan Fencing Academy / Sheridan Fencing Academy of Westchester,178,149,54.4%,143,108,57.0%,35,41,46.1%
"
                    Aidan Chan",Laguna Fencing Center,399,516,43.6%,314,399,44.0%,85,117,42.1%
"
                    Justin Lau","Stamford Fencing Center, LLC / Allegro Fencing Center",180,187,49.0%,135,140,49.1%,45,47,48.9%
"
                    Oliver Smink",Rochester Fencing Club,174,228,43.3%,129,181,41.6%,45,47,48.9%
"
                    Leon Rode",Fencing Academy Of Westchester,77,58,57.0%,62,40,60.8%,15,18,45.5%
"
                    Luke Hoppa",Manhattan Fencing Center,178,119,59.9%,140,83,62.8%,38,36,51.4%
"
                    Daniel Posy",Bergen Fencing Club,303,382,44.2%,236,295,44.4%,67,87,43.5%
"
                    Maxim Boukhtin",Columbus Fencing And Fitness LLC,256,190,57.4%,203,135,60.1%,53,55,49.1%
"
                    Christian Dudnick",Fencing Academy Of Denver,369,357,50.8%,281,271,50.9%,88,86,50.6%
"
                    Christian Jeffry",Halberstadt Fencers' Club,73,53,57.9%,59,36,62.1%,14,17,45.2%
"
                    Leehi Machulsky",Academy Of Fencing Masters (AFM),874,169,83.8%,550,89,86.1%,324,80,80.2%
"
                    Sarah Gu",Medeo Fencing Club,739,235,75.9%,476,139,77.4%,263,96,73.3%
"
                    Yasmine Khamis",Alliance Fencing Academy,667,147,81.9%,438,72,85.9%,229,75,75.3%
"
                    Kyle Fallon",Fencing Academy Of Westchester,509,190,72.8%,353,120,74.6%,156,70,69.0%
"
                    Sophia Jakel",DC Fencers Club,425,127,77.0%,289,72,80.1%,136,55,71.2%
"
                    Anya Mehrotra",Alliance Fencing Academy,726,361,66.8%,508,241,67.8%,218,120,64.5%
"
                    Ashley Luo",Olympia Fencing Center,729,326,69.1%,494,220,69.2%,235,106,68.9%
"
                    Felicity Sebastian",Alliance Fencing Academy,419,164,71.9%,299,103,74.4%,120,61,66.3%
"
                    Polina Kharchyna",New York Fencing Academy,116,45,72.0%,80,28,74.1%,36,17,67.9%
"
                    Victoria Doroshkevich",Fencing Center Of Chicago,647,260,71.3%,446,167,72.8%,201,93,68.4%
"
                    Tanishka Padhye",Alliance Fencing Academy,456,280,62.0%,318,203,61.0%,138,77,64.2%
"
                    Kira Nguyen",North Shore Fencers Club,530,196,73.0%,365,121,75.1%,165,75,68.8%
"
                    Alice Lan",Academy Of Fencing Masters (AFM),467,213,68.7%,327,136,70.6%,140,77,64.5%
"
                    Tina Tianyi Zhang",New York Fencing Academy,531,249,68.1%,394,157,71.5%,137,92,59.8%
"
                    Ivanna Ortega",Gold Blade Fencing Center,255,109,70.1%,171,70,71.0%,84,39,68.3%
"
                    Zara Pehlivani",Battle Born Fencing Club,380,204,65.1%,275,136,66.9%,105,68,60.7%
"
                    Emersyn Runions",Pegasus Sword Academy Inc.,749,441,62.9%,549,302,64.5%,200,139,59.0%
"
                    Mia Smotritsky",New York Fencing Academy,465,314,59.7%,349,217,61.7%,116,97,54.5%
"
                    Lily Nelson-Love",San Diego Fencing Center,463,260,64.0%,339,182,65.1%,124,78,61.4%
"
                    Katherine Alexandrov",Windy City Fencing-Chicago,255,173,59.6%,201,121,62.4%,54,52,50.9%
"
                    Meera Desai",Elite Fencing Academy (VA) / Elite Fencing Academy (GA),531,366,59.2%,413,257,61.6%,118,109,52.0%
"
                    Aarthi Mallavarpu",Illinois Fencing Academy,455,227,66.7%,334,153,68.6%,121,74,62.1%
"
                    Elaine Hong",,323,242,57.2%,241,176,57.8%,82,66,55.4%
"
                    Zoe Chernis",Alliance Fencing Academy,363,261,58.2%,267,191,58.3%,96,70,57.8%
"
                    Lexi Caldera",Alliance Fencing Academy,347,252,57.9%,275,174,61.2%,72,78,48.0%
"
                    Yilin Yao",Swords Fencing Studio,323,242,57.2%,241,172,58.4%,82,70,53.9%
"
                    yat ching lee",South Florida Fencing Club,263,139,65.4%,189,91,67.5%,74,48,60.7%
"
                    Alissa Remeza",Fencing Academy Of Westchester,282,141,66.7%,218,89,71.0%,64,52,55.2%
"
                    Abigail Gornovsky",,115,97,54.2%,86,75,53.4%,29,22,56.9%
"
                    Chelsea Shelin",Las Vegas Fencing Academy,149,123,54.8%,112,94,54.4%,37,29,56.1%
"
                    Yedda Lee",Penta Olympic Fencing Club,450,369,54.9%,347,270,56.2%,103,99,51.0%
"
                    Heidi Hess",Alliance Fencing Academy,259,275,48.5%,189,211,47.2%,70,64,52.2%
"
                    Alexandra Wong",New York Fencing Academy,282,287,49.6%,222,217,50.6%,60,70,46.2%
"
                    Eiry Du",Cavalier Fencing Club,44,16,73.3%,28,11,71.8%,16,5,76.2%
"
                    Yixuan Zhang",,59,38,60.8%,41,27,60.3%,18,11,62.1%
"
                    Renee Sun",Alliance Fencing Academy,310,288,51.8%,239,210,53.2%,71,78,47.7%
"
                    Noya Chirashnya",Academy Of Fencing Masters (AFM),344,290,54.3%,260,210,55.3%,84,80,51.2%
"
                    Samantha Lu",ASER International Fencing Academy,309,270,53.4%,236,194,54.9%,73,76,49.0%
"
                    Nina Prihodko👸",Vivo Fencing Club,509,484,51.3%,400,359,52.7%,109,125,46.6%
"
                    Eugenie Cha",Maximum Fencing Club,251,269,48.3%,195,206,48.6%,56,63,47.1%
"
                    Alina Popovici",,139,130,51.7%,106,95,52.7%,33,35,48.5%
"
                    Anisha Pant",Maximum Fencing Club,417,303,57.9%,314,218,59.0%,103,85,54.8%
"
                    Ashley Lin",Maximum Fencing Club,343,429,44.4%,263,333,44.1%,80,96,45.5%
"
                    Hannah Brown",Birmingham Fencing Club,219,154,58.7%,160,110,59.3%,59,44,57.3%
"
                    Celine Chang",Las Positas Fencing Center,294,283,51.0%,227,209,52.1%,67,74,47.5%
"
                    Azniv Basralian",Elite Fencers Club,144,105,57.8%,108,77,58.4%,36,28,56.2%
"
                    Claire Anderson",Denver Fencing Center,293,302,49.2%,227,226,50.1%,66,76,46.5%
"
                    Julia Peeler","Fencing Sports Academy, Inc.",216,219,49.7%,172,167,50.7%,44,52,45.8%
"
                    KATHARINE YAO",Alliance Fencing Academy,314,407,43.6%,257,309,45.4%,57,98,36.8%
"
                    Bianca Estefania Santa",Miami Lakes Fencing Club,108,61,63.9%,81,39,67.5%,27,22,55.1%
"
                    Alice Korkin",Alliance Fencing Academy,176,217,44.8%,148,169,46.7%,28,48,36.8%
"
                    Emily Naka",Alliance Fencing Academy,61,73,45.5%,46,55,45.5%,15,18,45.5%
"
                    Bailey Yu",,129,238,35.1%,105,189,35.7%,24,49,32.9%
"
                    India Benzan",Cavalier Fencing Club,222,231,49.0%,176,169,51.0%,46,62,42.6%
"
                    Victoria Pevzner",V Fencing Club,662,207,76.2%,453,118,79.3%,209,89,70.1%
"
                    Jia Chen",V Fencing Club / V Fencing Club,779,270,74.3%,547,155,77.9%,232,115,66.9%
"
                    Kimberley Jang",Fencers Club Inc.,407,197,67.4%,298,127,70.1%,109,70,60.9%
"
                    Alina Zhang",Tim Morehouse Fencing Club (Port Chester),721,304,70.3%,518,186,73.6%,203,118,63.2%
"
                    Ishani Sood",California Fencing Academy,682,281,70.8%,482,179,72.9%,200,102,66.2%
"
                    Bridgette Ouyang",Star Fencing Academy,466,238,66.2%,343,154,69.0%,123,84,59.4%
"
                    Yukari Takamizawa",Golden State Fencing Academy,137,35,79.7%,94,17,84.7%,43,18,70.5%
"
                    Sofia Guerra",Metro Tacoma Fencing Club,504,270,65.1%,367,187,66.2%,137,83,62.3%
"
                    Piper Randolph",Team Touche Fencing Center / Team Touche Fencing Center,482,247,66.1%,350,167,67.7%,132,80,62.3%
"
                    Mariam Namgalauri",Fencing Center Of Chicago,405,202,66.7%,282,135,67.6%,123,67,64.7%
"
                    Rachel Li",Star Fencing Academy,483,310,60.9%,368,212,63.4%,115,98,54.0%
"
                    Sophie Zhao",Bluegrass Fencers' Club / Queen City Fencers Club LLC,505,338,59.9%,382,235,61.9%,123,103,54.4%
"
                    Chaahat Batra",Space City Fencing Academy,353,251,58.4%,272,179,60.3%,81,72,52.9%
"
                    Amber Peng",Golubitsky Fencing Center,533,351,60.3%,398,246,61.8%,135,105,56.2%
"
                    Norah Seigel",,134,76,63.8%,98,54,64.5%,36,22,62.1%
"
                    Chien-Yu Sun",Maximum Fencing Club,344,302,53.3%,254,228,52.7%,90,74,54.9%
"
                    Natalie Yen",PDX Fencing,212,181,53.9%,150,134,52.8%,62,47,56.9%
"
                    Ji Ahn Lee",Elite Fencing Club,322,282,53.3%,235,210,52.8%,87,72,54.7%
"
                    Mahala Lambert",Northwest Fencing Center,220,130,62.9%,160,88,64.5%,60,42,58.8%
"
                    Lira Cannon",Denver Fencing Center / California Fencing Academy,260,128,67.0%,186,90,67.4%,74,38,66.1%
"
                    Anisha Pant",Maximum Fencing Club,417,303,57.9%,314,218,59.0%,103,85,54.8%
"
                    Alexandra Nikolic",Naples Fencing Academy,502,290,63.4%,357,207,63.3%,145,83,63.6%
"
                    Alexis Kostelny",Fencing Center Of Chicago,497,296,62.7%,376,202,65.1%,121,94,56.3%
"
                    Aileen Zhao",AIC  Fencing Club,666,468,58.7%,499,337,59.7%,167,131,56.0%
"
                    Qihan Fu",Star Fencing Academy,444,338,56.8%,329,238,58.0%,115,100,53.5%
"
                    Sophia Wong",Tim Morehouse Fencing Club (Port Chester),431,377,53.3%,347,277,55.6%,84,100,45.7%
"
                    Emily Gu",Star Fencing Academy,459,436,51.3%,348,321,52.0%,111,115,49.1%
"
                    Michelle Su",Star Fencing Academy,325,306,51.5%,254,224,53.1%,71,82,46.4%
"
                    Alyssa Hayes",Bluegrass Fencers' Club,147,178,45.2%,113,135,45.6%,34,43,44.2%
"
                    Sophie Guan",South Coast Fencing Center / South Coast Fencing Center,216,136,61.4%,151,97,60.9%,65,39,62.5%
"
                    Nina Markovsky",Fencers Club Inc.,318,330,49.1%,247,245,50.2%,71,85,45.5%
"
                    Hannah Beaver",Rain City Fencing Center,432,425,50.4%,334,312,51.7%,98,113,46.4%
"
                    Alison Hwang",Golubitsky Fencing Center,299,321,48.2%,243,240,50.3%,56,81,40.9%
"
                    Caitlyn Tom",Bay Area Fencing Club,110,124,47.0%,86,93,48.0%,24,31,43.6%
"
                    Norah Vaughan",Birmingham Fencing Club,316,260,54.9%,243,185,56.8%,73,75,49.3%
"
                    Calissa Welborn",Silicon Valley Fencing Center,246,264,48.2%,189,197,49.0%,57,67,46.0%
"
                    Fiona Lee",Bluegrass Fencers' Club,187,242,43.6%,150,182,45.2%,37,60,38.1%
"
                    Jenna Shoman",Manhattan Fencing Center,870,176,83.2%,556,85,86.7%,314,91,77.5%
"
                    Veronica Mika",Advance Fencing And Fitness Academy,562,228,71.1%,378,145,72.3%,184,83,68.9%
"
                    Janna Freedman",South Bay Fencing Academy,608,209,74.4%,426,121,77.9%,182,88,67.4%
"
                    Madeline Engelman-Sanz",Bergen Fencing Club,508,186,73.2%,356,110,76.4%,152,76,66.7%
"
                    Nisha Hild",Boston Fencing Club,715,350,67.1%,501,232,68.3%,214,118,64.5%
"
                    Susan Wiggers",Nellya Fencers / The Ohio State University NCAA,428,230,65.0%,305,162,65.3%,123,68,64.4%
"
                    Natalie Shearer",Laguna Fencing Center,301,158,65.6%,211,108,66.1%,90,50,64.3%
"
                    Ibla Vadasz",Bergen Fencing Club,464,224,67.4%,326,146,69.1%,138,78,63.9%
"
                    Kira Erikson",South Bay Fencing Academy,430,277,60.8%,310,200,60.8%,120,77,60.9%
"
                    Sophia Chin",Premier Fencing Academy / Halberstadt Fencers' Club,463,248,65.1%,338,169,66.7%,125,79,61.3%
"
                    Madison Duckett",Tim Morehouse Fencing Club,410,212,65.9%,305,139,68.7%,105,73,59.0%
"
                    Amanda Li",Advance Fencing And Fitness Academy,493,225,68.7%,385,139,73.5%,108,86,55.7%
"
                    Ashley Yang",Manhattan Fencing Center,507,273,65.0%,386,179,68.3%,121,94,56.3%
"
                    Kayla Alcebar",Advance Fencing And Fitness Academy,393,245,61.6%,295,172,63.2%,98,73,57.3%
"
                    Angelina LeLe Yang",LA Fencing Academy of Pomona,309,199,60.8%,235,140,62.7%,74,59,55.6%
"
                    Cathleen Shi",Capital Fencing Academy / Capital Fencing Academy,354,261,57.6%,270,186,59.2%,84,75,52.8%
"
                    Alejandra Ferreira",Globus Fencing Academy / Globus Fencing Academy,190,109,63.5%,139,77,64.4%,51,32,61.4%
"
                    Valeria Sourimto",Manhattan Fencing Center / Manhattan Fencing Center,323,189,63.1%,245,125,66.2%,78,64,54.9%
"
                    Anika Sinha",Advance Fencing And Fitness Academy,481,370,56.5%,357,271,56.8%,124,99,55.6%
"
                    Anna Hung",Lone Star Fencing Center / Lone Star Fencing Center,302,226,57.2%,223,164,57.6%,79,62,56.0%
"
                    Sophia Lee",Manhattan Fencing Center / Manhattan Fencing of Englewood,437,360,54.8%,324,265,55.0%,113,95,54.3%
"
                    Ashley Chen",Axis Fencing Club,196,132,59.8%,152,96,61.3%,44,36,55.0%
"
                    Maya Balakumaran",Advance Fencing And Fitness Academy / Advance Fencing And Fitness Academy,387,316,55.0%,308,229,57.4%,79,87,47.6%
"
                    Sammy Nathanson",Dynamo Fencing Center Inc.,282,180,61.0%,215,125,63.2%,67,55,54.9%
"
                    Sophie Graff",Cobra Fencing Club LLC,271,245,52.5%,206,183,53.0%,65,62,51.2%
"
                    Holly Altheimer",Buccaneer Blades Fencing,43,35,55.1%,32,27,54.2%,11,8,57.9%
"
                    Vivian Wei",Capital Fencing Academy,332,308,51.9%,267,232,53.5%,65,76,46.1%
"
                    Leena Mansperger",Sheridan Fencing Academy,251,179,58.4%,190,131,59.2%,61,48,56.0%
"
                    Greta Yuan",Bergen Fencing Club / Platinum Fencing Academy,507,384,56.9%,393,274,58.9%,114,110,50.9%
"
                    Eve Scott","Capital Fencing Academy / Fencing Sports Academy, Inc.",305,281,52.0%,220,219,50.1%,85,62,57.8%
"
                    Erenei Ligh",Manhattan Fencing Center,355,336,51.4%,285,248,53.5%,70,88,44.3%
"
                    Lydia Johnson",DC Fencers Club,219,174,55.7%,168,127,56.9%,51,47,52.0%
"
                    Ana Obradovic",Advance Fencing And Fitness Academy,260,244,51.6%,196,181,52.0%,64,63,50.4%
"
                    Maya Barnovitz",Premier Fencing Academy,332,342,49.3%,261,259,50.2%,71,83,46.1%
"
                    Sadhika Mulagari",Cardinal Fencing Club / The Fencing Center,189,169,52.8%,145,122,54.3%,44,47,48.4%
"
                    Ashten Procaccini",Escrimeur Fencers Club,75,33,69.4%,58,19,75.3%,17,14,54.8%
"
                    Jessie Tong",Premier Fencing Academy,288,320,47.4%,235,242,49.3%,53,78,40.5%
"
                    Grace Fan",Columbus International Fencing Academy,244,200,55.0%,185,144,56.2%,59,56,51.3%
"
                    Natalie Yen",PDX Fencing,212,181,53.9%,150,134,52.8%,62,47,56.9%
"
                    Audrey Chang",Fencing Academy Of Denver,209,224,48.3%,171,169,50.3%,38,55,40.9%
"
                    Xinling Ren",Bergen Fencing Club,246,291,45.8%,193,219,46.8%,53,72,42.4%
